"No","구분","이름/채널","플랫폼","규모(구독/평시청)","언어","연락처·링크","우선순위","1차 발송일","리마인드일","회신","키 발송","방송/게시일","결과·성과","메모"
"1","해외 유튜버","Roffle Lite","YouTube","420,000","EN","https://youtube.com/@RoffleLite","P0","","","","","","","로그라이크 데일리 업로드 최상위 채널. 발라트로 최다 시청 크리에이터. 대형이라 회신률 낮음 — 프레스킷+30초 GIF로 승부"
"2","해외 유튜버","Balatro University (Dr Spectred)","YouTube","198,000","EN","https://youtube.com/@drspectred","P0","","","","","","","발라트로 전문 공략 채널. 화·목·금 스트리밍 병행. '완전정보 최적해' 콘셉트가 이 채널 톤과 정확히 일치 — 최우선 타깃"
"3","해외 유튜버","Bean","YouTube","66,700","EN","https://youtube.com/@BeanBalatro","P0","","","","","","","'I Play Balatro' 단일 장르 채널. 카드게임 단일 소재로 채널 운영 → 신작 카드게임 수용도 높음"
"4","해외 유튜버","Roze (Balatroze)","YouTube","31,800","EN","https://youtube.com/@Balatroze","P0","","","","","","","발라트로 전업 크리에이터. 규모 대비 회신률 기대 구간(1~5만)"
"5","해외 스트리머","Murphy Obv","YouTube/Twitch","31,400","EN","https://youtube.com/@murphyobv","P0","","","","","","","트위치 버라이어티 + 로그라이크. '오늘의 동일 시드 1등 경쟁' 방송 아이디어 제안 적합"
"6","해외 스트리머","BelenosBear","YouTube/Twitch","29,500","EN","https://youtube.com/@BelenosBear / https://twitch.tv/belenosbear","P0","","","","","","","화·목 20:00 EST 정기 방송. 발라트로 세컨 채널 별도 운영할 만큼 카드게임 몰입도 높음"
"7","해외 커뮤니티","Major League Balatro","YouTube","14,100","EN","https://youtube.com/@MajorLeagueBalatro","P0","","","","","","","발라트로 최대 대회. 24명 크리에이터가 11주간 경쟁 → 한 번 접촉으로 크리에이터 24명 네트워크 접근 가능. 최고 레버리지"
"8","해외 스트리머","ZainoTV","YouTube/Twitch","14,000","EN","https://youtube.com/@ZainoTVLive","P0","","","","","","","발라트로·로그라이트 '가르치는' 포맷. 완전정보 퍼즐 해설과 궁합 좋음"
"9","해외 유튜버","EggJoker02","YouTube","14,300","EN","https://youtube.com/@CuteGaming-sj7sg","P1","","","","","","","발라트로 콤보 하이라이트 전문. 쇼츠/클립 소재 제공 시 채택률 높을 것"
"10","해외 유튜버","TheUnseenExplosion","YouTube","11,600","EN","https://youtube.com/@TheUnseenExplosion1","P1","","","","","","","발라트로 유튜버 겸 스트리머"
"11","해외 유튜버","BlackDeck","YouTube","7,670","EN","https://youtube.com/@BalatroBlackDeck","P1","","","","","","","발라트로 + 밈 콘텐츠. 바이럴 소재 제작 역량 있음"
"12","해외 유튜버","walker","YouTube","3,930","EN","https://youtube.com/@walkerbalatro","P2","","","","","","","발라트로 데일리 업로드. 골드 스테이크/고난도 런 위주"
"13","해외 스트리머","Amaz","YouTube/Twitch","357,000","EN","https://youtube.com/@amazhs","P1","","","","","","","하스스톤 출신 전략 카드게임 대형 크리에이터. 회신률 낮으나 커버 시 파급력 최대"
"14","해외 스트리머","Frost Prime","YouTube/Twitch","347,000","EN","https://youtube.com/@TheFrostPrime / https://twitch.tv/FrostPrime_","P1","","","","","","","슬더스 계열 대형 스트리머. 트위치 링크 채널 소개란에 공개"
"15","해외 스트리머","Baalorlord","YouTube/Twitch","105,000","EN","https://youtube.com/@Baalorlord","P0","","","","","","","슬더스 콘텐츠 주 5일. 장르 내 최고 신뢰도. 'cozy + 사고과정 해설' 톤이 트릭테이킹 퍼즐과 최적합"
"16","해외 스트리머","Jorbs","YouTube/Twitch","93,600","EN","https://youtube.com/@Jorbs","P0","","","","","","","슬더스 고수준 사고과정 해설의 대명사. 완전정보 게임 = Jorbs 콘텐츠의 이상형. 최우선"
"17","해외 유튜버","Rhapsody","YouTube","61,800","EN","https://youtube.com/@RhapsodyPlays","P0","","","","","","","덱빌더 전문 리뷰/공략. 신작 커버 빈도 높음"
"18","해외 유튜버","Exxo","YouTube","51,800","EN","https://youtube.com/@Exxo","P1","","","","","","","인스크립션 등 카드 기반 인디게임 커버"
"19","해외 유튜버","Caleb Gannon Gaming","YouTube","36,700","EN","https://youtube.com/@CalebGannonGaming","P1","","","","","","","슬더스 계열 챌린지/분석 콘텐츠"
"20","해외 스트리머","JapaneseExport","YouTube/Twitch","30,600","EN","https://youtube.com/@JapaneseExport","P0","","","","","","","슬더스 A20H 상위 플레이어 + Slice&Dice 세계기록. 하드코어 최적화 유저층 보유 — 완전정보 훅에 반응할 층"
"21","해외 유튜버","Lucky Carder","YouTube","29,000","EN","https://youtube.com/@LuckyCarder","P0","","","","","","","'Card Gamers' 대상 채널 운영. 카드게임 단일 소구 채널"
"22","해외 유튜버","Rogue Deckbuilder","YouTube","28,900","EN","https://youtube.com/@roguedeckbuilder","P0","","","","","","","'퍼즐 풀듯 생각하는 사람' 대상 채널 소개문 — 게임 콘셉트와 문구 수준까지 일치"
